frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
23,5.0,[2205.7709027109695 1255.861896344856 2847.3735699537574 1877.3885732497477],[2433.9111328125 1685.704833984375 2611.54248046875 1769.29833984375],0.6727550625801086,0,0
23,3.0,[656.0885103522986 1510.2364656574491 1385.624817275117 2155.1253818420123],[872.032470703125 1923.384521484375 1137.3695068359375 2037.88916015625],0.6461217999458313,NA13NRU,0.33008745492928765
24,5.0,[2208.96466977279 1260.6877990573744 2853.672912086429 1884.476539997569],[2437.99072265625 1688.8095703125 2620.024658203125 1773.157470703125],0.6870481371879578,0,0
24,3.0,[652.4759620372145 1515.6715072408074 1383.469881110879 2156.154376269189],[910.2145385742188 1941.6591796875 1144.8201904296875 2045.091064453125],0.6566100716590881,NA13MRU,0.6666394248171998
25,5.0,[2208.2419945735896 1266.4767150765879 2855.289401815115 1894.0031230895293],[2440.07373046875 1697.4246826171875 2622.91796875 1785.2025146484375],0.6740806102752686,0,0
25,3.0,[649.9763496733592 1520.5254345162427 1381.850719372083 2156.1908300752616],[871.8385620117188 1951.1964111328125 1131.603271484375 2066.682373046875],0.6297783255577087,NA13NRU,0.5146506589699085
26,5.0,[2208.0177960637843 1266.872760223231 2858.5489975323676 1898.762905329472],[2440.6376953125 1698.0546875 2624.806640625 1788.9141845703125],0.688610851764679,MT51VSU,0.30885336647881945
26,3.0,[648.2378877116668 1525.916712742447 1380.4295981077776 2156.275051636594],[863.300537109375 1962.0970458984375 1134.599609375 2074.216796875],0.6193851232528687,0,0
27,5.0,[2207.527813757982 1268.5322045528426 2859.605359279601 1905.6366937348814],[2438.57958984375 1710.669921875 2624.6982421875 1794.645751953125],0.643627405166626,0,0
27,3.0,[645.1773119022273 1533.234984585047 1380.250316110515 2157.465351387762],[885.8932495117188 1976.162109375 1132.2506103515625 2081.061767578125],0.6076200604438782,0,0
28,3.0,[643.0804621022128 1540.4679809388542 1381.0042035927938 2157.0263532523504],[855.1962890625 1977.8658447265625 1129.2432861328125 2092.04345703125],0.6642913222312927,NA13NRU,0.1497150448743634
28,5.0,[2205.5585695412656 1268.6940307436805 2858.4090208436073 1911.3927539986832],[2441.453125 1719.418212890625 2625.448486328125 1802.8564453125],0.645291268825531,0,0
29,3.0,[639.9583885678433 1546.5656596141173 1378.9820637660796 2156.873077250839],[873.2216186523438 1982.525146484375 1116.489990234375 2092.09423828125],0.6683345437049866,MA13MRU,0.1944239490348496
29,5.0,[2206.4107397076514 1268.2342837437006 2860.9200373214626 1917.211254337734],[2448.481201171875 1726.820556640625 2626.799560546875 1804.2232666015625],0.6439894437789917,CQ35ISV,0.04455854372523332
30,5.0,[2208.7001138856176 1278.6589216618463 2864.639476837716 1928.2745242870396],[2448.243896484375 1732.496337890625 2627.56201171875 1818.087890625],0.6805600523948669,0,0
30,3.0,[635.9165743988331 1554.4470836731011 1375.2161682279798 2157.3818842341416],[858.9329223632812 1996.2850341796875 1119.795166015625 2105.770263671875],0.6548261046409607,0,0
31,5.0,[2209.3376012735066 1286.392213181581 2865.3883299977692 1939.0945761580272],[2449.427490234375 1734.9188232421875 2634.968994140625 1821.448974609375],0.6696608662605286,0,0
31,3.0,[634.7070104646118 1562.7810837837208 1372.5360548709796 2158.386782270796],[885.7261962890625 2018.2880859375 1093.0565185546875 2117.21630859375],0.6685217022895813,0,0
32,3.0,[636.0599094664383 1568.4480517540574 1372.5390578219885 2157.404890654153],[873.2385864257812 2022.1483154296875 1119.3245849609375 2125.7470703125],0.6970622539520264,NA13NRU,0.12631884866173945
32,5.0,[2209.515701349862 1289.948533686805 2866.1860837662607 1947.2083956307063],[2445.10546875 1741.8326416015625 2633.77001953125 1832.1087646484375],0.6631709337234497,CZ51VSU,0.11613275125773781
33,3.0,[631.7400222035511 1577.587174135882 1369.5475919507658 2156.9112509763827],[838.1239013671875 2027.9073486328125 1110.9635009765625 2136.782470703125],0.6711313724517822,0,0
33,5.0,[2211.5126375015143 1296.8886318082994 2867.019074076705 1955.6533669111075],[2446.227783203125 1747.6717529296875 2637.419189453125 1839.2838134765625],0.6670569181442261,0,0
34,3.0,[622.1022323201222 1584.9490593434718 1364.8301209512165 2156.161302783086],[851.9326171875 2040.1622314453125 1122.056396484375 2151.592041015625],0.6496322154998779,NA13NRU,0.502693942816696
34,5.0,[2214.5408955556695 1309.1001016382716 2871.5955109953966 1966.4476316089272],[2445.94677734375 1757.091796875 2637.182861328125 1845.126708984375],0.6225645542144775,0,0
35,5.0,[2215.7737961453076 1311.9887172805957 2873.5206345879906 1970.192733567941],[2451.7353515625 1765.7669677734375 2636.2734375 1849.5457763671875],0.6108701229095459,0,0
36,5.0,[2217.917959393465 1315.3028505081277 2875.3459328066747 1976.5231378814112],[2453.04052734375 1774.5498046875 2644.04736328125 1857.52294921875],0.6545050144195557,0,0
37,5.0,[2215.800448471936 1320.8665147311988 2874.4990071865095 1985.5922145864022],[2456.67333984375 1781.47412109375 2642.4052734375 1864.072998046875],0.6692808866500854,0,0
38,5.0,[2216.0945555395715 1324.641412177826 2873.8292037484784 1992.8735715642426],[2460.328369140625 1783.6409912109375 2644.20947265625 1869.942626953125],0.687628984451294,0,0
39,5.0,[2217.521893594805 1334.1979393590827 2873.9544087634968 2003.3041406184889],[2454.337890625 1790.9132080078125 2645.66552734375 1885.3780517578125],0.6878284215927124,0,0
39,6.0,[1142.845189893439 1127.84063265825 1718.697207894007 1580.3030681852697],[1338.8050537109375 1399.716552734375 1504.665283203125 1472.6903076171875],0.28063899278640747,0,0
